time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-09-22T09:26:07.640Z,37.8798333,-122.232,8.57,0.87,md,25,52,0.004587,0.05,nc,nc72303571,2014-09-23T22:28:37.410Z,"3km ENE of Berkeley, California",earthquake
2014-09-21T05:18:51.600Z,37.865,-122.2481667,9.94,0.83,md,19,85,0.01066,0.03,nc,nc72302966,2014-09-24T01:52:03.888Z,"2km ESE of Berkeley, California",earthquake
2014-09-12T13:51:34.500Z,37.903,-122.2071667,5.36,0.6,md,12,74,0.02283,0.06,nc,nc72297316,2014-09-19T03:25:01.260Z,"3km NW of Orinda, California",earthquake
2014-09-11T23:02:55.600Z,37.8985,-122.2028,5.2,0.6,Md,9,111.6,0.01796631,0.06,nc,nc72296911,2014-09-17T06:20:04.903Z,"3km NW of Orinda, California",earthquake
2014-09-11T01:00:40.000Z,37.9027,-122.2048,4.9,0.5,Md,11,75.6,0.02694946,0.06,nc,nc72296146,2014-09-17T00:03:56.508Z,"3km NW of Orinda, California",earthquake
2014-09-10T14:38:13.380Z,37.8711667,-122.2533333,9.21,1.38,md,43,36,0.006021,0.06,nc,nc72295841,2014-09-17T00:12:07.201Z,"1km E of Berkeley, California",earthquake
2014-09-10T07:05:59.790Z,37.8588333,-122.2983333,4.24,0.36,md,9,197,0.03299,0.05,nc,nc72295641,2014-09-17T19:07:02.680Z,"2km WSW of Berkeley, California",earthquake
2014-08-31T16:14:31.300Z,37.895,-122.2047,8.5,0.5,Md,12,64.8,0.01796631,0.03,nc,nc72288806,2014-09-10T22:32:55.910Z,"2km NW of Orinda, California",earthquake
2014-08-31T15:16:54.600Z,37.8983,-122.2097,8.7,0.8,Md,18,68.4,0.01796631,0.03,nc,nc72288741,2014-09-05T23:47:14.651Z,"3km NW of Orinda, California",earthquake
2014-08-30T15:04:09.800Z,37.8677,-122.2485,10,0.9,Md,29,54,0.00898315,0.06,nc,nc72288106,2014-09-10T17:06:05.218Z,"2km ESE of Berkeley, California",earthquake
2014-08-27T01:19:06.800Z,37.8602,-122.2483,9.6,2,Md,106,21.6,0,0.08,nc,nc72284946,2014-09-07T13:21:09.760Z,"2km ESE of Berkeley, California",earthquake
